,Gender,Car_Owner,Propert_Owner,Children,Annual_income,Type_Income,Education,Marital_status,Housing_type,Age,Employed_exp,Type_Occupation,Family_Members,label
0,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,51.0,0.0,other,2,1
1,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,other,2,1
2,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,44.0,2.0,other,2,1
3,F,Y,N,0,166500.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,other,2,1
4,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,other,2,1
6,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,other,2,1
7,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,other,2,1
8,M,Y,Y,1,380250.0,Commercial associate,Secondary / secondary special,Married,House / apartment,50.0,2.0,Core staff,3,1
9,M,Y,Y,1,380250.0,Pensioner,Secondary / secondary special,Married,House / apartment,50.0,2.0,Core staff,3,1
10,M,Y,Y,1,380250.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,50.0,2.0,Core staff,1,1
11,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,Cooking staff,2,1
12,F,Y,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,Cooking staff,2,1
13,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,Cooking staff,2,1
14,M,N,N,1,380250.0,Pensioner,Higher education,Married,With parents,24.0,3.0,other,3,1
15,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,46.0,1.0,Laborers,2,1
16,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,1.0,Laborers,2,1
17,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,52.0,7.0,Sales staff,1,1
18,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,52.0,7.0,Sales staff,1,1
19,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,52.0,5.0,other,2,1
20,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,35.0,12.0,other,1,1
21,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,33.0,5.0,Laborers,2,1
22,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,49.0,3.0,Accountants,2,1
23,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.0,3.0,Sales staff,4,1
24,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,44.0,2.0,Laborers,2,1
25,F,Y,Y,0,337500.0,Commercial associate,Higher education,Married,House / apartment,43.0,1.0,other,2,1
26,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,other,2,1
27,F,N,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,other,2,1
29,M,N,N,0,380250.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,Managers,2,1
30,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,33.0,13.0,Cleaning staff,2,1
